timestamp,open,high,low,close,volume
1736058660000,98388.17,98400.0,98388.16,98400.0,3.8001
1736058720000,98400.0,98400.0,98399.99,98399.99,2.45587
1736058780000,98399.99,98400.0,98390.17,98390.17,2.27385
1736058840000,98390.17,98390.17,98388.58,98388.58,4.35169
1736058900000,98388.58,98388.59,98388.58,98388.59,0.39545
1736058960000,98388.58,98388.59,98371.31,98371.31,1.43336
1736059020000,98371.32,98371.32,98353.54,98353.54,0.84299
1736059080000,98353.53,98353.54,98353.53,98353.53,1.62679
1736059140000,98353.54,98353.54,98352.53,98352.54,0.65169
1736059200000,98352.53,98352.54,98339.57,98339.57,1.27734
1736059260000,98339.57,98363.98,98339.57,98363.97,4.6346
1736059320000,98363.98,98363.98,98363.97,98363.98,0.40769
1736059380000,98363.98,98388.59,98363.98,98388.58,1.43418
1736059440000,98388.59,98388.59,98388.58,98388.58,0.69484
1736059500000,98388.58,98388.59,98388.58,98388.59,1.21989
1736059560000,98388.59,98388.59,98367.38,98367.38,3.8404
1736059620000,98367.39,98388.0,98367.38,98388.0,2.91695
1736059680000,98387.99,98388.0,98380.43,98380.44,3.37794
1736059740000,98380.44,98441.0,98380.44,98440.93,10.05688
1736059800000,98440.93,98475.53,98440.93,98475.46,7.40696
1736059860000,98475.46,98475.47,98467.2,98469.52,4.31469
1736059920000,98469.53,98500.0,98469.52,98489.41,3.56018
1736059980000,98489.42,98489.42,98470.44,98470.45,12.85173
1736060040000,98470.44,98477.29,98470.44,98477.28,2.68242
1736060100000,98477.28,98477.29,98470.44,98470.45,0.97071
1736060160000,98470.45,98470.45,98470.44,98470.44,0.66495
1736060220000,98470.44,98470.45,98470.44,98470.44,0.836
1736060280000,98470.44,98470.45,98470.44,98470.44,2.85936
1736060340000,98470.44,98470.44,98451.47,98451.47,2.08043
1736060400000,98451.48,98451.48,98432.0,98432.01,1.57624
1736060460000,98432.0,98432.01,98432.0,98432.01,1.2453
1736060520000,98432.01,98460.0,98432.0,98459.99,6.49766
1736060580000,98459.99,98460.0,98454.38,98454.39,0.81477
1736060640000,98454.39,98458.45,98440.3,98458.45,4.97541
1736060700000,98458.45,98464.84,98458.44,98464.83,1.0821
1736060760000,98464.83,98464.84,98464.83,98464.83,0.56257
1736060820000,98464.84,98464.84,98464.83,98464.83,0.72114
1736060880000,98464.83,98464.84,98464.83,98464.83,3.12085
1736060940000,98464.84,98464.84,98441.43,98441.43,2.65755
1736061000000,98441.44,98441.44,98400.54,98401.9,11.13765
1736061060000,98401.89,98401.9,98401.89,98401.89,0.79936
1736061120000,98401.89,98408.77,98392.04,98392.04,6.24537
1736061180000,98392.04,98392.05,98379.87,98379.88,3.30061
1736061240000,98379.88,98379.88,98376.0,98376.01,1.1402
1736061300000,98376.01,98378.45,98376.0,98378.44,2.38337
1736061360000,98378.45,98378.45,98378.08,98378.08,0.99842
1736061420000,98378.09,98387.92,98378.08,98387.92,1.27326
1736061480000,98387.91,98387.92,98387.91,98387.91,1.80271
1736061540000,98387.92,98387.92,98378.08,98383.97,2.34746
1736061600000,98383.97,98383.98,98383.97,98383.97,0.68441
1736061660000,98383.98,98383.98,98383.97,98383.98,1.04708
1736061720000,98383.98,98383.98,98383.97,98383.98,0.70666
1736061780000,98383.97,98388.0,98383.97,98388.0,2.11291
